LD,Velocity (km/s),a (degrees),$ (degrees),DI
2,1.5,-45,30,0.56969
2,1.5,-45,15,0.62796
2,1.5,-60,60,0.3676
2,1.5,-60,45,0.48289
2,1.5,-60,30,0.56743
2,1.5,-60,15,0.61703
2,1.5,-75,60,0.37829
2,1.5,-75,45,0.47628
2,1.5,-75,30,0.56902
2,1.5,-75,15,0.62421
2,1.5,-90,60,0.40724
2,1.5,-90,45,0.47767
2,1.5,-90,30,0.57375
2,1.5,-90,15,0.62575
2,1.81,90,60,0.47779
2,1.81,90,45,0.60855
2,1.81,90,30,0.68933
2,1.81,90,15,0.7608
2,1.81,75,60,0.48321
2,1.81,75,45,0.61854
2,1.81,75,30,0.70523
2,1.81,75,15,0.76471
2,1.81,60,60,0.49331
2,1.81,60,45,0.64674
2,1.81,60,30,0.75257
2,1.81,60,15,0.77891
2,1.81,45,60,0.49854
2,1.81,45,45,0.64315
2,1.81,45,30,0.7649
2,1.81,45,15,0.81902
2,1.81,30,60,0.50577
2,1.81,30,45,0.65607
2,1.81,30,30,0.75267
2,1.81,30,15,0.83159
2,1.81,15,60,0.49771
2,1.81,15,45,0.65905
2,1.81,15,30,0.75455
2,1.81,15,15,0.82643
2,1.81,0,60,0.46632
2,1.81,0,45,0.6483
2,1.81,0,30,0.76794
2,1.81,0,15,0.82359
2,1.81,-15,60,0.45623
2,1.81,0,45,0.618
2,1.81,-15,30,0.73667
2,1.81,-15,15,0.82264
2,1.81,-30,60,0.46084
2,1.81,-30,45,0.60718
2,1.81,-30,30,0.71577
2,1.81,-30,15,0.79545
2,1.81,-45,60,0.45418
2,1.81,-45,45,0.58831
2,1.81,-45,30,0.70239
2,1.81,-45,15,0.78106
2,1.81,-60,60,0.44708
2,1.81,-60,45,0.58674
2,1.81,-60,30,0.69754
2,1.81,-60,15,0.75513
2,1.81,-75,60,0.46637
2,1.81,-75,45,0.59401
2,1.81,-75,30,0.70545
2,1.81,-75,15,0.76147
2,1.81,-90,60,0.47779
2,1.81,-90,45,0.60855
2,1.81,-90,30,0.68933
2,1.81,-90,15,0.7608
2,2.15,90,60,0.58758
2,2.15,90,45,0.74793
2,2.15,90,30,0.85507
2,2.15,90,15,0.92311
